Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.4152047634124756;0-2;LSB bit-flip;1
library_path;rtld.c;823;0.7378089427947998;0-2;LSB bit-flip;1
load_time;rtld.c;307;0.3960764408111572;0-2;LSB bit-flip;1
_dl_argc;rtld.c;82;1.0505473613739014;0-2;LSB bit-flip;1
preloadlist;rtld.c;825;1.1789700984954834;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.9642784595489502;0-2;LSB bit-flip;1
_rtld_global;rtld.c;231;0.7546896934509277;0-2;LSB bit-flip;1
audit_list_string;rtld.c;134;1.1260793209075928;0-2;LSB bit-flip;1
__PRETTY_FUNCTION__;fileops.c;0;0.950531005859375;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.9091331958770752;0-2;LSB bit-flip;1
__GI___libc_enable_secure;../elf/dl-sysdep.c;58;0.5919883251190186;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.6958749294281006;0-2;LSB bit-flip;1
__libc_multiple_libcs;../elf/dl-sysdep.c;60;0.39550352096557617;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.9377543926239014;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.5663011074066162;0-2;LSB bit-flip;1
__libc_malloc_initialized;arena.c;100;0.5841708183288574;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.33661603927612305;0-2;LSB bit-flip;1
version_info;rtld.c;827;0.4315361976623535;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;1.6936018466949463;0-2;LSB bit-flip;1
audit_list_string;rtld.c;134;0.5885331630706787;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.7603745460510254;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.7596559524536133;0-2;LSB bit-flip;1
tcache_shutting_down;malloc.c;2920;0.9389934539794922;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.4351005554199219;0-2;LSB bit-flip;1
__GI__dl_argv;rtld.c;83;0.22163105010986328;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.8654804229736328;0-2;LSB bit-flip;1
_dl_rtld_libname2;rtld.c;302;1.0582976341247559;0-2;LSB bit-flip;1
__GI__dl_argv;rtld.c;83;0.2942211627960205;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.5560369491577148;0-2;LSB bit-flip;1
version_info;rtld.c;827;0.9120864868164062;0-2;LSB bit-flip;1
__PRETTY_FUNCTION__;fileops.c;0;0.9430291652679443;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;1.32588791847229;0-2;LSB bit-flip;1
relocate_time;rtld.c;306;0.972623348236084;0-2;LSB bit-flip;1
__GI__dl_argv;rtld.c;83;0.3255949020385742;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.552919626235962;0-2;LSB bit-flip;1
preloadlist;rtld.c;825;0.7590012550354004;0-2;LSB bit-flip;1
__PRETTY_FUNCTION__;fileops.c;0;0.8681282997131348;0-2;LSB bit-flip;1
library_path;rtld.c;823;0.8485569953918457;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.3250086307525635;0-2;LSB bit-flip;1
load_time;rtld.c;307;0.2766404151916504;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.2892570495605469;0-2;LSB bit-flip;1
__GI___libc_enable_secure;../elf/dl-sysdep.c;58;0.7035496234893799;0-2;LSB bit-flip;1
start_time;rtld.c;308;0.7745504379272461;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.8045260906219482;0-2;LSB bit-flip;1
any_debug;rtld.c;2322;0.9859519004821777;0-2;LSB bit-flip;1
version_info;rtld.c;827;1.1773910522460938;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.08772611618042;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;1.1670482158660889;0-2;LSB bit-flip;1
__PRETTY_FUNCTION__;fileops.c;0;1.6207404136657715;0-2;LSB bit-flip;1
version_info;rtld.c;827;0.3494300842285156;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.230327844619751;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.5053799152374268;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.0298218727111816;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.6931986808776855;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.3973307609558105;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.7879395484924316;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;1.0324478149414062;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.2379333972930908;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.6725776195526123;0-2;LSB bit-flip;1
perturb_byte;malloc.c;1882;0.3263967037200928;0-2;LSB bit-flip;1
__PRETTY_FUNCTION__;fileops.c;0;1.0731806755065918;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.2822468280792236;0-2;LSB bit-flip;1
__evoke_link_warning_llseek;../sysdeps/unix/sysv/linux/lseek64.c;53;1.473201036453247;0-2;LSB bit-flip;1
start_time;rtld.c;308;0.2251443862915039;0-2;LSB bit-flip;1
tcache_shutting_down;malloc.c;2920;1.1714887619018555;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.8889591693878174;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.061913013458252;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.167140007019043;0-2;LSB bit-flip;1
_dl_argc;rtld.c;82;0.6365389823913574;0-2;LSB bit-flip;1
_dl_argc;rtld.c;82;0.5819301605224609;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.5976037979125977;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.9814443588256836;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.0637609958648682;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.9514169692993164;0-2;LSB bit-flip;1
freeres_list;genops.c;841;0.738037109375;0-2;LSB bit-flip;1
__PRETTY_FUNCTION__;fileops.c;0;1.1981782913208008;0-2;LSB bit-flip;1
tls_init_tp_called;rtld.c;677;1.1305599212646484;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.439087152481079;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;1.1426036357879639;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.2059316635131836;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.2211530208587646;0-2;LSB bit-flip;1
version_info;rtld.c;827;0.5596530437469482;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.9233272075653076;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.5540151596069336;0-2;LSB bit-flip;1
version_info;rtld.c;827;1.030562400817871;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.4741544723510742;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.2407641410827637;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.6745531558990479;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.82297682762146;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.1886179447174072;0-2;LSB bit-flip;1
load_time;rtld.c;307;0.616856575012207;0-2;LSB bit-flip;1
relocate_time;rtld.c;306;0.8276758193969727;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.8831546306610107;0-2;LSB bit-flip;1
dealloc_buffers;genops.c;840;1.3574326038360596;0-2;LSB bit-flip;1
start_time;rtld.c;308;1.1364800930023193;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.2025558948516846;0-2;LSB bit-flip;1
_rtld_global_ro;rtld.c;259;1.2115204334259033;0-2;LSB bit-flip;1
_rtld_global_ro;rtld.c;259;0.8542144298553467;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.6890432834625244;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.2035188674926758;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.0109400749206543;0-2;LSB bit-flip;1
tls_init_tp_called;rtld.c;677;0.701413631439209;0-2;LSB bit-flip;1
arg;fprintf.c;28;1.3996708393096924;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.9050064086914062;0-2;LSB bit-flip;1
audit_list;rtld.c;142;0.7553911209106445;0-2;LSB bit-flip;1
version_info;rtld.c;827;0.38957881927490234;0-2;LSB bit-flip;1
__PRETTY_FUNCTION__;fileops.c;0;0.8021724224090576;0-2;LSB bit-flip;1
tls_init_tp_called;rtld.c;677;0.3199479579925537;0-2;LSB bit-flip;1
any_debug;rtld.c;2322;0.3810436725616455;0-2;LSB bit-flip;1
file_size;rtld.c;874;0.38095617294311523;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.9552233219146729;0-2;LSB bit-flip;1
__pointer_chk_guard_local;rtld.c;96;0.3964073657989502;0-2;LSB bit-flip;1
_dl_rtld_libname2;rtld.c;302;0.22634387016296387;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.5337808132171631;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.0012621879577637;0-2;LSB bit-flip;1
__PRETTY_FUNCTION__;fileops.c;0;1.1260998249053955;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.034351110458374;0-2;LSB bit-flip;1
_rtld_global;rtld.c;231;0.9909863471984863;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.409970760345459;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.7683231830596924;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.42473483085632324;0-2;LSB bit-flip;1
start_time;rtld.c;308;1.1110897064208984;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.9058620929718018;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.6341209411621094;0-2;LSB bit-flip;1
__pointer_chk_guard_local;rtld.c;96;0.6308228969573975;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.9179224967956543;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.530297040939331;0-2;LSB bit-flip;1
_dl_rtld_libname;rtld.c;301;0.4771416187286377;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.2811932563781738;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;1.3117058277130127;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.444662094116211;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.9450387954711914;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.471761703491211;0-2;LSB bit-flip;1
tls_init_tp_called;rtld.c;677;0.33112096786499023;0-2;LSB bit-flip;1
__pointer_chk_guard_local;rtld.c;96;0.4355661869049072;0-2;LSB bit-flip;1
_rtld_global;rtld.c;231;0.5860705375671387;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.1696856021881104;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.6773672103881836;0-2;LSB bit-flip;1
_dl_rtld_libname2;rtld.c;302;0.6816005706787109;0-2;LSB bit-flip;1
__PRETTY_FUNCTION__;fileops.c;0;0.9420764446258545;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.9385836124420166;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.9586551189422607;0-2;LSB bit-flip;1
preloadlist;rtld.c;825;0.9137439727783203;0-2;LSB bit-flip;1
__libc_multiple_libcs;../elf/dl-sysdep.c;60;0.8713195323944092;0-2;LSB bit-flip;1
st;filedoalloc.c;81;1.6692533493041992;0-2;LSB bit-flip;1
preload_file;rtld.c;1630;0.22052431106567383;0-2;LSB bit-flip;1
library_path;rtld.c;823;0.22135281562805176;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.9534268379211426;0-2;LSB bit-flip;1
audit_list;rtld.c;142;1.008946418762207;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.5568711757659912;0-2;LSB bit-flip;1
__PRETTY_FUNCTION__;fileops.c;0;1.1920058727264404;0-2;LSB bit-flip;1
_dl_argc;rtld.c;82;0.4128420352935791;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;1.5107192993164062;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.6917135715484619;0-2;LSB bit-flip;1
freeres_list;genops.c;841;0.8106534481048584;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.144334316253662;0-2;LSB bit-flip;1
relocate_time;rtld.c;306;0.6447868347167969;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.8754258155822754;0-2;LSB bit-flip;1
library_path;rtld.c;823;0.6298985481262207;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.3809382915496826;0-2;LSB bit-flip;1
st;filedoalloc.c;81;1.4522795677185059;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.9119467735290527;0-2;LSB bit-flip;1
__PRETTY_FUNCTION__;fileops.c;0;1.6112122535705566;0-2;LSB bit-flip;1
file_size;rtld.c;874;0.959491491317749;0-2;LSB bit-flip;1
preloadlist;rtld.c;825;0.34606122970581055;0-2;LSB bit-flip;1
__libc_multiple_libcs;../elf/dl-sysdep.c;60;0.3937513828277588;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.41863417625427246;0-2;LSB bit-flip;1
start_time;rtld.c;308;0.8018355369567871;0-2;LSB bit-flip;1
version_info;rtld.c;827;0.695934534072876;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;1.4972515106201172;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;1.0705456733703613;0-2;LSB bit-flip;1
_rtld_global_ro;rtld.c;259;0.5398614406585693;0-2;LSB bit-flip;1
tls_init_tp_called;rtld.c;677;0.9979190826416016;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.731353759765625;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.3881258964538574;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.8042786121368408;0-2;LSB bit-flip;1
relocate_time;rtld.c;306;0.5651397705078125;0-2;LSB bit-flip;1
start_time;rtld.c;308;0.2128446102142334;0-2;LSB bit-flip;1
free_list_lock;arena.c;81;1.0370030403137207;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.936535120010376;0-2;LSB bit-flip;1
audit_list_string;rtld.c;134;0.9213380813598633;0-2;LSB bit-flip;1
__PRETTY_FUNCTION__;fileops.c;0;1.4922187328338623;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.7669479846954346;0-2;LSB bit-flip;1
st;dl-misc.c;46;0.6486515998840332;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.3955602645874023;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.1316115856170654;0-2;LSB bit-flip;1
audit_list;rtld.c;142;0.30959558486938477;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.0830395221710205;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.9427270889282227;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.5759494304656982;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.5237843990325928;0-2;LSB bit-flip;1
audit_list_string;rtld.c;134;0.2808842658996582;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;1.5542216300964355;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;1.420517921447754;0-2;LSB bit-flip;1
library_path;rtld.c;823;0.5318100452423096;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.124898910522461;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.4684925079345703;0-2;LSB bit-flip;1
__libc_multiple_libcs;../elf/dl-sysdep.c;60;1.0337235927581787;0-2;LSB bit-flip;1
load_time;rtld.c;307;1.1603944301605225;0-2;LSB bit-flip;1
_rtld_global_ro;rtld.c;259;0.3176724910736084;0-2;LSB bit-flip;1
tls_init_tp_called;rtld.c;677;0.5633833408355713;0-2;LSB bit-flip;1
preloadlist;rtld.c;825;0.6571409702301025;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.1036124229431152;0-2;LSB bit-flip;1
__libc_multiple_libcs;../elf/dl-sysdep.c;60;0.9853248596191406;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.9259085655212402;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.8327765464782715;0-2;LSB bit-flip;1
_rtld_global_ro;rtld.c;259;0.23646235466003418;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.4847121238708496;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.7354729175567627;0-2;LSB bit-flip;1
