bitflips:;8930
SDCs:;158
Crashes:;12
Simultaneous SDCs and Crashes:;0

FaultModels SDCs:
FaultModel ;#SDCs; percentage
Single bit-flip;158;100.0

FaultModels Crashes:
FaultModel ;#Crashes; percentage
Single bit-flip;12;7.59493670886076

Variables that caused SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
11.297709923664122;655;74;_IO_file_jumps;fileops.c;1560
7.6163610719323;709;54;__GI__IO_file_jumps;fileops.c;1537
2.100840336134454;714;15;_IO_file_jumps_maybe_mmap;fileops.c;1586
0.8759124087591241;685;6;_IO_file_jumps_mmap;fileops.c;1562
75.0;4;3;__free_hook;malloc.c;1850
66.66666666666666;3;2;thread_arena;arena.c;69
33.33333333333333;3;1;__malloc_hook;malloc.c;1852
33.33333333333333;3;1;undef_name;dl-lookup.c;801
50.0;2;1;global_max_fast;malloc.c;1786
100.0;1;1;sym;../elf/dl-runtime.c;73

Variables that caused Crash:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
1.646090534979424;243;4;_dl_skip_args;rtld.c;84
0.8968609865470852;223;2;user_entry;../elf/dl-sysdep.c;89
0.8928571428571428;224;2;_rtld_local;rtld.c;162
0.43859649122807015;228;1;_rtld_global;rtld.c;140
0.4149377593360996;241;1;__GI__dl_argv;rtld.c;83
0.4291845493562232;233;1;_dl_argv;rtld.c;86
0.3787878787878788;264;1;_rtld_global_ro;rtld.c;168